"","X","Y","Symbol"
"Cep41"," 7.640490"," 1.671486e-01","Cep41"
"Macrod1"," 7.301213"," 2.224554e-02","Macrod1"
"Gpc6"," 8.475560","-4.474978e-02","Gpc6"
"Gpc6"," 8.235325"," 6.679004e-02","Gpc6"
"NA"," 8.243425","-5.112321e-02","NA"
"Camp"," 5.501443","-1.659418e-01","Camp"
"Ltc4s"," 5.729484"," 2.032473e-01","Ltc4s"
"Colec12"," 8.454202"," 4.423716e-02","Colec12"
"St8sia1"," 4.905399"," 1.278679e-01","St8sia1"
"St8sia1"," 5.085475"," 1.796586e-01","St8sia1"
"Cd4"," 7.263152","-4.709107e-02","Cd4"
"Cxcl11"," 5.191067","-2.024864e-02","Cxcl11"
"Cxcl11"," 3.256414","-5.489331e-02","Cxcl11"
"Scgb3a1"," 5.677043"," 2.602028e-01","Scgb3a1"
"Prom1","11.483147"," 5.861522e-02","Prom1"
"Anks3"," 7.147508"," 8.175286e-02","Anks3"
"Taf1a"," 6.487197","-6.335455e-02","Taf1a"
"Col5a3"," 5.676111","-4.042251e-01","Col5a3"
"NA"," 3.288083"," 1.851334e-02","NA"
"Car5b"," 4.714653"," 1.830618e-01","Car5b"
"Akap12"," 9.752688"," 1.216148e-01","Akap12"
"Krtap14"," 3.949888","-2.638387e-01","Krtap14"
"Wnt6"," 8.239638"," 5.916089e-03","Wnt6"
"Stfa3"," 5.344445","-1.038423e-01","Stfa3"
"Nxph3"," 7.857803"," 4.546054e-02","Nxph3"
"Cd7"," 6.305563","-8.648389e-02","Cd7"
"Il3ra"," 5.997699"," 1.590112e-01","Il3ra"
"Atp8b3"," 4.218104","-1.480640e-01","Atp8b3"
"Cd274"," 5.261601"," 8.460426e-02","Cd274"
"1700029F12Rik"," 4.720531"," 6.232346e-02","1700029F12Rik"
"Pou2f1"," 9.062847","-3.506335e-01","Pou2f1"
"Sema3e"," 6.064868","-1.195022e+00","Sema3e"
"4921530L21Rik"," 3.841784","-2.161145e-01","4921530L21Rik"
"Gabrb1"," 5.273162"," 1.228073e-01","Gabrb1"
"Gp9"," 6.821509"," 2.378868e-01","Gp9"
"Hcar2"," 5.335806","-8.285648e-02","Hcar2"
"Klk8"," 8.493430"," 2.081816e-01","Klk8"
"Opn1mw"," 5.612993"," 2.624371e-02","Opn1mw"
"Edar"," 5.720728"," 2.028447e-01","Edar"
"Slc26a4"," 4.847237","-2.619655e-02","Slc26a4"
"Adam18"," 4.443024"," 1.861380e-03","Adam18"
"Cd55b"," 3.030041"," 1.134652e-01","Cd55b"
"Cxcl5"," 3.948198","-3.581620e-01","Cxcl5"
"Tex11"," 3.749215","-1.807620e-01","Tex11"
"Ahcyl2"," 6.531917","-7.003463e-02","Ahcyl2"
"Cyp2b19"," 3.883961","-1.921587e-01","Cyp2b19"
"Rtn4r"," 7.309157"," 9.162023e-02","Rtn4r"
"Glipr1l2"," 3.673755","-2.117845e-02","Glipr1l2"
"Actb","13.498635","-2.133177e-01","Actb"
"Csn3"," 5.891413","-1.389834e+00","Csn3"
"Eif1ax","12.378802","-5.248859e-02","Eif1ax"
"Ldha","13.259015","-2.134701e-02","Ldha"
"Tpm2","10.242049"," 1.029932e-01","Tpm2"
"Tpm2"," 5.723707","-1.861388e-01","Tpm2"
"Pde6b"," 5.359224"," 2.399776e-02","Pde6b"
"Supt16","11.946966"," 6.834342e-02","Supt16"
"1700037H04Rik"," 7.125111"," 3.814437e-02","1700037H04Rik"
"Carm1","10.306049","-3.057173e-01","Carm1"
"H2-DMb2"," 5.947636"," 1.989719e-01","H2-DMb2"
"Arhgap23"," 8.525908","-2.750680e-02","Arhgap23"
"Arhgap23"," 5.003444","-7.179556e-03","Arhgap23"
"Asgr2"," 4.418981"," 1.545708e-01","Asgr2"
"Abcd2"," 6.346551"," 2.275549e-02","Abcd2"
"Trdmt1"," 8.309285"," 5.463097e-02","Trdmt1"
"Trdmt1"," 4.534634"," 2.085355e-01","Trdmt1"
"Slc22a27"," 3.093941"," 1.701240e-02","Slc22a27"
"Nfx1"," 7.894722","-1.993603e-01","Nfx1"
"Nfx1"," 7.595745","-1.527120e-01","Nfx1"
"Myo5a"," 7.905059","-1.686388e-01","Myo5a"
"Mfi2"," 5.815641"," 1.285054e-02","Mfi2"
"Dgkg"," 4.091950","-1.623168e-01","Dgkg"
"Pitpnm2"," 7.064231"," 1.819931e-01","Pitpnm2"
"Abcb1a"," 3.171263"," 2.376041e-01","Abcb1a"
"Abcb1a"," 4.209721"," 1.340723e-01","Abcb1a"
"Rwdd2b"," 8.759038"," 1.540804e-02","Rwdd2b"
"Gabpb1"," 8.529935","-4.222168e-02","Gabpb1"
"Ubd"," 3.859179","-1.033011e-01","Ubd"
"Nkap"," 5.144566","-3.407358e-01","Nkap"
"Chil3"," 3.641508"," 1.386680e-02","Chil3"
"Cul2"," 7.144057"," 9.647096e-02","Cul2"
"Sik1"," 7.497458"," 3.829440e-01","Sik1"
"Padi3"," 5.871100"," 1.487760e-02","Padi3"
"Cd22"," 6.729219","-8.062422e-02","Cd22"
"Cd22"," 4.092393","-1.670672e-01","Cd22"
"NA"," 3.997547"," 8.620876e-02","NA"
"NA"," 3.756038","-9.243013e-02","NA"
"Dnajc1"," 3.478386","-2.667442e-02","Dnajc1"
"Aplf"," 4.565178"," 2.016113e-01","Aplf"
"D2Ertd239e"," 4.748217"," 5.798980e-03","D2Ertd239e"
"NA"," 3.512366","-3.769148e-02","NA"
"NA"," 4.743547","-7.693250e-02","NA"
"NA"," 3.678603","-1.978990e-01","NA"
"NA"," 4.006192"," 4.204787e-02","NA"
"NA"," 3.713928","-1.256464e-01","NA"
"NA"," 4.912192","-8.950387e-02","NA"
"D630004N19Rik"," 5.222992","-3.503317e-02","D630004N19Rik"
"AA517864"," 3.478736"," 3.556842e-02","AA517864"
"NA"," 3.610546"," 1.778901e-01","NA"
"NA"," 5.213645","-8.025971e-03","NA"
"AA516738"," 4.295519"," 1.399826e-01","AA516738"
"Ltbp1"," 5.195494"," 2.045685e-01","Ltbp1"
"Zfp628"," 8.960749","-4.502349e-03","Zfp628"
"NA"," 4.014854","-5.277099e-02","NA"
"Agap2"," 5.816601","-1.635700e-01","Agap2"
"NA"," 4.641026","-2.463061e-02","NA"
"Zhx3"," 4.858077","-2.010318e-01","Zhx3"
"Kif20b"," 2.992553","-3.668989e-02","Kif20b"
"D5Ertd615e"," 4.882350"," 2.046591e-02","D5Ertd615e"
"Gm31133"," 5.023250"," 1.149447e-02","Gm31133"
"AA517631"," 4.259163"," 2.603642e-01","AA517631"
"Gm15934"," 4.110731"," 7.543399e-02","Gm15934"
"AA672641"," 3.259952","-2.106802e-02","AA672641"
"Rab26os"," 4.795373","-1.157892e-01","Rab26os"
"Rpl27a"," 4.027547"," 2.224677e-01","Rpl27a"
"NA"," 3.606460"," 8.344077e-02","NA"
"NA"," 3.361706","-1.540040e-01","NA"
"Ccdc12"," 6.955229","-1.523190e-04","Ccdc12"
"Ccdc12","11.092842"," 6.409267e-02","Ccdc12"
"1700051A21Rik"," 4.090033","-2.097613e-01","1700051A21Rik"
"Ggps1"," 8.471039"," 1.844658e-01","Ggps1"
"Hdlbp"," 8.255641","-3.785483e-01","Hdlbp"
"D4Ertd335e"," 5.242731"," 2.113519e-01","D4Ertd335e"
"Cog4"," 7.117819"," 1.069787e-01","Cog4"
"Cog4"," 9.530783"," 1.016273e-01","Cog4"
"Arhgap9"," 4.240085"," 2.772302e-02","Arhgap9"
"Adcy9"," 5.272392"," 3.115467e-01","Adcy9"
"Coa3","11.827136"," 1.285893e-01","Coa3"
"Kdm5c"," 3.299376","-3.274942e-02","Kdm5c"
"S100a1"," 6.547708"," 1.866183e-01","S100a1"
"Mettl17"," 8.131745"," 5.004608e-02","Mettl17"
"Errfi1"," 7.872383"," 2.850927e-01","Errfi1"
"Ankzf1"," 7.736978","-1.710227e-01","Ankzf1"
"Ankzf1"," 9.024169"," 5.644166e-02","Ankzf1"
"Sec63"," 9.628649"," 1.609985e-01","Sec63"
"Pkhd1"," 3.307540","-1.997976e-01","Pkhd1"
"Idh1","11.305545","-5.065747e-03","Idh1"
"Eif3e"," 4.489227"," 2.115174e-01","Eif3e"
"Ksr1"," 7.306189","-1.658325e-01","Ksr1"
"Aasdh"," 8.873166"," 1.036598e-01","Aasdh"
"NA"," 4.225020","-1.143512e-01","NA"
"Kif17"," 4.088616"," 3.554067e-01","Kif17"
"Kif17"," 5.371717","-2.010192e-01","Kif17"
"Usp31"," 3.588420","-5.308450e-02","Usp31"
"Gab2"," 8.954614"," 5.090844e-01","Gab2"
"NA"," 3.130138","-5.795433e-02","NA"
"AA416453"," 3.558183","-1.312994e-02","AA416453"
"Acpp"," 5.092382"," 1.879072e-01","Acpp"
"Arap3"," 8.077793"," 2.399934e-01","Arap3"
"Mark1"," 8.971563","-7.932489e-02","Mark1"
"Plec"," 8.789154"," 1.869846e-01","Plec"
"NA"," 3.871405"," 4.457105e-02","NA"
"Treml2"," 3.663513"," 1.258248e-01","Treml2"
"Plk4","11.461885","-2.004193e-01","Plk4"
"Prpf19","12.502681","-4.061666e-02","Prpf19"
"Krt72"," 5.613941"," 2.582239e-01","Krt72"
"Gm2682"," 3.852896"," 1.234552e-01","Gm2682"
"NA"," 3.855655"," 4.372042e-02","NA"
"LOC545086"," 4.002610","-6.499488e-02","LOC545086"
"Dlx1as"," 9.380582","-1.580343e+00","Dlx1as"
"NA"," 3.985920"," 9.138877e-02","NA"
"NA"," 3.722264","-1.372959e-01","NA"
"Tlr7"," 4.134317","-9.099413e-03","Tlr7"
"NA"," 5.967939","-2.210534e-02","NA"
"Slc4a8"," 3.673438"," 9.477798e-02","Slc4a8"
"P2rx7"," 3.244032"," 7.278434e-02","P2rx7"
"NA"," 3.774216","-9.174765e-02","NA"
"NA"," 3.269257"," 6.477719e-02","NA"
"NA"," 3.000011"," 3.974454e-02","NA"
"NA"," 2.861167","-6.957598e-02","NA"
"NA"," 4.324137"," 1.868060e-01","NA"
"Tnpo1"," 5.483735"," 3.785557e-01","Tnpo1"
"Atxn2","10.720937"," 8.014659e-02","Atxn2"
"Ankhd1","10.534410","-6.193167e-02","Ankhd1"
"Hdlbp","11.137223","-6.510294e-02","Hdlbp"
"NA"," 4.869508","-5.368290e-02","NA"
"Csf1r"," 8.966866"," 6.468148e-01","Csf1r"
"Csf1r"," 7.718814"," 4.849388e-01","Csf1r"
"Zbtb16"," 7.649173","-1.484807e+00","Zbtb16"
"NA"," 3.027342"," 6.280283e-02","NA"
"2810449G22Rik"," 7.760163"," 2.266443e-02","2810449G22Rik"
"2810449G22Rik"," 6.629469","-3.053900e-01","2810449G22Rik"
"Trim25"," 7.457762"," 1.465964e-01","Trim25"
"NA"," 6.712393"," 1.787083e-01","NA"
"NA"," 3.316454"," 5.238347e-02","NA"
"NA"," 4.431208"," 9.526299e-02","NA"
"Atp6v1b2"," 8.911705","-3.522180e-01","Atp6v1b2"
"NA"," 5.832313","-2.760292e-02","NA"
"DXErtd223e"," 5.868980"," 1.483897e-01","DXErtd223e"
"DXErtd223e"," 5.684479","-1.477289e-01","DXErtd223e"
"NA"," 4.012130"," 8.100079e-02","NA"
"NA"," 4.884723"," 3.135575e-02","NA"
"NA"," 3.679729"," 7.249510e-02","NA"
"NA"," 3.926951"," 1.553858e-01","NA"
"C77545"," 4.527749","-9.374821e-02","C77545"
"Ccdc167"," 6.631575","-2.980659e-02","Ccdc167"
"D930048N14Rik"," 3.757986"," 5.770957e-02","D930048N14Rik"
"Gm6787"," 5.587800"," 4.338277e-01","Gm6787"
"AA536748"," 3.603126"," 1.409207e-01","AA536748"
"Tet1"," 6.759637","-1.171590e-03","Tet1"
"Tet1"," 4.890656"," 7.158413e-02","Tet1"
"Zc3h7a"," 6.677091","-2.253471e-01","Zc3h7a"
"Zc3h7a"," 5.699123"," 1.073810e-01","Zc3h7a"
"NA"," 4.613950"," 3.177190e-01","NA"
"Gm11110"," 6.081740"," 8.997539e-03","Gm11110"
"NA"," 6.435828"," 1.698734e-01","NA"
"Dbndd2"," 4.914944"," 2.404382e-01","Dbndd2"
"Dbndd2"," 3.953923"," 1.320298e-01","Dbndd2"
"Hpgd"," 7.259090"," 7.724063e-01","Hpgd"
"Hpgd"," 5.653223","-8.810450e-02","Hpgd"
"Fcrla"," 4.282859","-2.603962e-02","Fcrla"
"Fcrla"," 3.968675"," 7.982084e-02","Fcrla"
"Mphosph9"," 8.831890"," 1.146691e-01","Mphosph9"
"Mphosph9"," 5.367989"," 1.814688e-01","Mphosph9"
"Coro1c"," 6.138371"," 4.174667e-01","Coro1c"
"Strap","11.053822","-6.157477e-02","Strap"
"Strap"," 8.548168"," 3.036859e-01","Strap"
"Nus1","10.678587","-2.342860e-01","Nus1"
"Nus1"," 6.085648","-1.982865e-01","Nus1"
"Rnf20"," 4.988769"," 4.442194e-01","Rnf20"
"Tmed7","11.573568","-1.042766e-01","Tmed7"
"Tmed7"," 7.364203"," 1.411447e-01","Tmed7"
"NA"," 5.254611","-4.924380e-02","NA"
"Usp7","10.999509","-8.893457e-02","Usp7"
"Usp7"," 6.900436"," 2.670988e-01","Usp7"
"Atrnl1","10.207674","-6.839882e-02","Atrnl1"
"NA"," 5.971936","-1.221744e-01","NA"
"Fnip1"," 5.383753"," 2.718644e-01","Fnip1"
"Tmx3"," 9.415689","-1.007317e-01","Tmx3"
"Tmx3"," 4.653201"," 1.626014e-01","Tmx3"
"Rabif"," 9.719959"," 1.990137e-02","Rabif"
"NA"," 5.955983"," 6.114769e-02","NA"
"D15Ertd55e"," 4.153812","-1.040264e-01","D15Ertd55e"
"D15Ertd55e"," 3.490200"," 1.024300e-01","D15Ertd55e"
"Abcb7"," 5.174838","-1.234400e-01","Abcb7"
"Gpr137b"," 4.205975"," 1.647661e-01","Gpr137b"
"Pdrg1"," 3.920907","-1.461661e-02","Pdrg1"
"Pdrg1"," 5.715838"," 1.044139e-01","Pdrg1"
"Csnk2a2"," 8.906731","-4.947817e-01","Csnk2a2"
"NA"," 4.014181","-9.384498e-02","NA"
"NA"," 6.109685"," 1.190083e-01","NA"
"Arhgef17"," 7.690795"," 1.628734e-01","Arhgef17"
"Arhgef17"," 5.767141"," 5.135311e-02","Arhgef17"
"C030018P15Rik"," 4.541420"," 9.211413e-03","C030018P15Rik"
"C030018P15Rik"," 5.765762","-1.049399e-01","C030018P15Rik"
"Srxn1"," 7.243447","-7.062989e-03","Srxn1"
"NA","11.608297"," 6.907387e-02","NA"
"Ccnb1"," 6.059312"," 6.052015e-01","Ccnb1"
"Rab2a","11.397661"," 9.907140e-03","Rab2a"
"Rab2a"," 6.561942"," 4.993957e-01","Rab2a"
"D4Ertd117e"," 7.732301","-9.171529e-02","D4Ertd117e"
"D4Ertd117e"," 5.636761","-8.888433e-02","D4Ertd117e"
"Tmem38b"," 5.217245"," 2.044834e-01","Tmem38b"
"Tnpo3","10.867107","-1.685782e-01","Tnpo3"
"Lman1"," 6.352893"," 7.498048e-01","Lman1"
"NA"," 6.004977"," 1.213870e-01","NA"
"C80678"," 3.393050"," 2.531345e-03","C80678"
"Zfand3"," 9.756018","-1.358910e-01","Zfand3"
"Zfand3"," 4.984755"," 1.971171e-01","Zfand3"
"C77144"," 4.020283"," 7.032741e-02","C77144"
"C77144"," 4.622607"," 5.008673e-02","C77144"
"NA"," 4.016910"," 4.089934e-02","NA"
"NA"," 3.124189"," 2.571682e-03","NA"
"Cphx3"," 7.122184","-5.774029e-02","Cphx3"
"Cphx3"," 3.446865"," 1.509333e-01","Cphx3"
"NA"," 4.248223","-3.941074e-02","NA"
"Deptor"," 5.978243"," 1.827582e-02","Deptor"
"Hdgf","11.581468","-2.210796e-01","Hdgf"
"Tubb2a-ps2"," 5.609475"," 1.740531e-01","Tubb2a-ps2"
"Tubb2a-ps2"," 2.954760"," 1.912551e-01","Tubb2a-ps2"
"Seh1l"," 6.811332"," 7.070080e-01","Seh1l"
"C77370"," 5.403053"," 6.745890e-02","C77370"
"C77370"," 4.032547"," 7.218579e-02","C77370"
"Slc35a5"," 5.600524"," 8.929788e-02","Slc35a5"
"Slc35a5"," 8.858124"," 3.434838e-02","Slc35a5"
"Slc35a5"," 3.670134","-4.649469e-02","Slc35a5"
"Oxsm"," 3.846145"," 2.373390e-01","Oxsm"
"Scp2"," 5.751648"," 5.076241e-02","Scp2"
"Scp2"," 6.853121"," 4.795262e-01","Scp2"
"Nfatc3","10.196194","-3.853519e-02","Nfatc3"
"NA"," 6.091940"," 2.750004e-01","NA"
"Arhgef25"," 9.708016"," 1.001799e-01","Arhgef25"
"Creb3"," 9.026708"," 1.574769e-01","Creb3"
"NA"," 6.223332","-8.086371e-02","NA"
"Riok3"," 5.834981"," 5.173346e-02","Riok3"
"NA"," 5.303873","-1.240339e-01","NA"
"Zfp644"," 5.718839","-1.193794e-01","Zfp644"
"Zfp644","10.666446","-8.373294e-02","Zfp644"
"Ccdc69"," 3.711708","-1.196260e-01","Ccdc69"
"Ccdc69"," 5.400541"," 1.833293e-01","Ccdc69"
"NA"," 4.420758"," 4.411034e-02","NA"
"Map3k7"," 8.649644"," 7.500746e-02","Map3k7"
"Commd5"," 5.986790"," 6.480285e-02","Commd5"
"A830082K12Rik"," 5.833744"," 2.001355e-01","A830082K12Rik"
"Rab3il1"," 3.271614"," 7.204620e-02","Rab3il1"
"Rab3il1"," 3.234286","-5.614669e-02","Rab3il1"
"Rab3il1"," 4.619841"," 1.922481e-01","Rab3il1"
"Anapc16"," 9.676298"," 2.510117e-01","Anapc16"
"Anapc16"," 5.854490"," 9.982411e-02","Anapc16"
"Arnt"," 9.005512"," 3.600143e-01","Arnt"
"Mfn1"," 6.323365"," 1.598070e-01","Mfn1"
"NA"," 6.269811"," 2.956964e-01","NA"
"Igbp1"," 6.018091"," 5.617120e-02","Igbp1"
"Igbp1","11.230240"," 2.554270e-02","Igbp1"
"D7Ertd1e"," 5.678361"," 7.424170e-02","D7Ertd1e"
"D7Ertd1e"," 5.624450","-1.787371e-02","D7Ertd1e"
"Nsun5"," 7.035024"," 1.369711e-01","Nsun5"
"NA","10.647677","-2.089575e-01","NA"
"Bmp15"," 3.279065","-1.865845e-02","Bmp15"
"Bmp15"," 3.577866"," 1.846867e-02","Bmp15"
"Wwc1"," 4.340402","-1.621797e-01","Wwc1"
"Wwc1"," 8.534032","-2.090498e-01","Wwc1"
"Wwc1"," 4.208187","-5.469024e-02","Wwc1"
"NA"," 5.077149"," 1.375488e-01","NA"
"Xbp1"," 9.916223"," 1.952683e-01","Xbp1"
"Xbp1"," 6.842201"," 3.666360e-01","Xbp1"
"Lss"," 9.561658","-1.371237e-01","Lss"
"Lss"," 6.372892"," 3.169956e-01","Lss"
"Ppt1"," 5.985262"," 5.139893e-02","Ppt1"
"Ppt1"," 4.936590","-1.254497e-01","Ppt1"
"Tspan8"," 5.877312","-1.648884e-01","Tspan8"
"Tspan8"," 3.299809"," 5.960564e-02","Tspan8"
"Tspan8"," 4.663039","-7.297461e-02","Tspan8"
"Suz12"," 7.609407"," 1.548540e-01","Suz12"
"Suz12","10.845895","-1.196798e-01","Suz12"
"NA"," 5.646429"," 5.978970e-01","NA"
"Etf1"," 8.852599","-2.861426e-02","Etf1"
"Etf1","10.397458","-5.693757e-03","Etf1"
"Aak1"," 5.267166"," 4.568880e-01","Aak1"
"Aak1"," 5.139612","-4.034157e-02","Aak1"
"C80171"," 4.303070"," 1.354993e-01","C80171"
"Mcm3","12.161909","-2.572764e-01","Mcm3"
"Mcm3"," 7.608061"," 5.256295e-01","Mcm3"
"Slu7"," 3.684416","-1.886619e-01","Slu7"
"Chek1"," 5.205201","-5.798800e-02","Chek1"
"Chek1"," 5.240634"," 2.808195e-01","Chek1"
"Ppp2r2d","10.415199"," 9.037354e-02","Ppp2r2d"
"Ppp2r2d"," 6.667133"," 3.410583e-01","Ppp2r2d"
"Aqp6"," 5.998354","-1.183976e-01","Aqp6"
"Ate1"," 4.784171"," 8.501539e-02","Ate1"
"Atp5a1"," 8.257307"," 8.433769e-01","Atp5a1"
"Atp6v1e1"," 6.910074"," 1.899600e-01","Atp6v1e1"
"Cbx7"," 4.556577"," 1.697950e-01","Cbx7"
"Fam73b"," 6.731885"," 4.868574e-02","Fam73b"
"NA"," 5.113783","-1.358331e-01","NA"
"NA"," 5.200884"," 1.158515e-01","NA"
"NA"," 5.634002"," 6.155429e-01","NA"
"NA"," 6.558772"," 7.227234e-02","NA"
"NA"," 5.573410"," 2.074640e-01","NA"
"Maf1","10.686742"," 1.368253e-01","Maf1"
"Maf1"," 5.948258"," 2.161594e-01","Maf1"
"C78859"," 3.773627"," 1.686845e-01","C78859"
"C78859"," 3.241665","-9.997451e-02","C78859"
"NA"," 4.156937"," 1.580477e-01","NA"
"NA"," 3.595210"," 7.057127e-02","NA"
"Psmb1"," 7.142336"," 5.350922e-02","Psmb1"
"Psmb1"," 5.907368"," 4.734928e-01","Psmb1"
"Slc35c2"," 7.476872","-3.431168e-01","Slc35c2"
"Slc35c2"," 5.176269"," 1.212373e-01","Slc35c2"
"Jmjd6"," 9.395484","-2.615335e-03","Jmjd6"
"Jmjd6"," 6.059649"," 2.322567e-01","Jmjd6"
"Mtfr1l"," 9.261586"," 2.032348e-01","Mtfr1l"
"Mtfr1l"," 6.664623"," 1.843171e-01","Mtfr1l"
"AA675344"," 3.424027","-1.676731e-01","AA675344"
"AA675344"," 4.702155"," 7.473007e-04","AA675344"
"NA"," 6.238400"," 1.972460e-01","NA"
"NA"," 4.629534"," 1.235922e-01","NA"
"Tktl1"," 3.456758","-1.179552e-01","Tktl1"
"Tktl1"," 4.484903","-1.816577e-01","Tktl1"
"Cd160"," 4.461903"," 1.734050e-01","Cd160"
"Cd160"," 6.116210"," 6.911189e-02","Cd160"
"NA"," 3.870550","-9.472161e-02","NA"
"NA"," 3.231533","-3.439638e-02","NA"
"Slc9a5"," 4.758154","-1.545829e-01","Slc9a5"
"NA"," 4.672511","-2.372910e-01","NA"
"NA"," 3.191753","-2.123994e-01","NA"
"NA"," 3.047644"," 5.449851e-02","NA"
"D8Ertd738e"," 7.061418"," 5.003926e-01","D8Ertd738e"
"NA"," 5.143274"," 2.184900e-01","NA"
"NA"," 3.649055"," 1.248591e-01","NA"
"E230029C05Rik"," 4.528930","-9.953979e-02","E230029C05Rik"
"NA"," 3.561387","-1.563764e-01","NA"
"NA"," 3.368974","-1.384900e-01","NA"
"Gfpt1"," 4.879678","-6.062565e-02","Gfpt1"
"Knstrn","10.455644"," 2.094042e-01","Knstrn"
"Knstrn"," 6.154587"," 5.130793e-01","Knstrn"
"AU016916"," 5.984610"," 5.502547e-01","AU016916"
"NA"," 3.814072","-5.577919e-02","NA"
"Fgf4"," 4.150536"," 1.305853e-02","Fgf4"
"Fgf4"," 4.484070","-7.926461e-03","Fgf4"
"Fzd3"," 4.710301"," 3.068109e-02","Fzd3"
"Nfkbia","11.350619"," 4.185395e-01","Nfkbia"
"Nfkbia"," 6.736910"," 4.860884e-01","Nfkbia"
"Raf1"," 5.448318"," 3.138070e-01","Raf1"
"Morc3"," 9.087745"," 1.141515e-01","Morc3"
"Morc3"," 4.642911"," 3.388517e-01","Morc3"
"Hnrnpdl","11.543811","-1.416489e-01","Hnrnpdl"
"NA"," 6.886672"," 1.585526e-01","NA"
"Zscan21","10.456384","-4.591438e-02","Zscan21"
"Zscan21"," 7.019656"," 8.489449e-01","Zscan21"
"D13Ertd787e"," 5.209616","-3.765842e-01","D13Ertd787e"
"D13Ertd787e"," 4.925869"," 1.491673e-01","D13Ertd787e"
"D13Ertd787e"," 4.429290"," 7.511036e-02","D13Ertd787e"
"D13Ertd787e"," 4.037054"," 8.901867e-02","D13Ertd787e"
"2610020H08Rik"," 3.550158","-4.531290e-02","2610020H08Rik"
"NA"," 3.757054","-2.802595e-02","NA"
"NA"," 7.024210"," 5.961225e-02","NA"
"NA"," 6.644932"," 7.847232e-02","NA"
"D13Ertd205e"," 3.541137"," 4.859410e-02","D13Ertd205e"
"Siah1a"," 7.563091"," 4.650142e-01","Siah1a"
"Bbs4"," 5.132719","-5.104953e-02","Bbs4"
"NA"," 3.062559"," 5.792457e-02","NA"
"NA"," 3.602240","-9.775650e-02","NA"
"Zfp334","10.688981","-5.329745e-02","Zfp334"
"Zfp334"," 4.753034"," 1.708405e-01","Zfp334"
"NA"," 3.775840","-8.006585e-03","NA"
"Coprs"," 9.933924","-1.915664e-01","Coprs"
"Coprs"," 5.422308"," 3.887923e-01","Coprs"
"NA"," 8.281164"," 1.842643e-01","NA"
"Golph3"," 9.425238","-8.419674e-02","Golph3"
"NA"," 6.307669"," 3.539947e-01","NA"
"Galm"," 4.302904"," 1.596713e-02","Galm"
"Phf3"," 7.409868"," 1.151889e-01","Phf3"
"Phf3"," 4.269748"," 4.727158e-01","Phf3"
"AA517858"," 2.962715"," 1.860001e-01","AA517858"
"AA517858"," 3.155474","-3.847131e-02","AA517858"
"Tcta"," 7.789258"," 2.939106e-01","Tcta"
"Tcta"," 7.634697"," 5.213853e-01","Tcta"
"Tcta"," 3.905065"," 1.769642e-01","Tcta"
"AA522020"," 3.117342","-5.598895e-02","AA522020"
"Ccpg1"," 6.642365","-8.130629e-02","Ccpg1"
"NA"," 5.978111","-1.748565e-01","NA"
"Rtcb","12.287504"," 1.000158e-01","Rtcb"
"Rtcb"," 6.007973"," 5.120754e-01","Rtcb"
"Pttg1ip","10.889304"," 1.894832e-01","Pttg1ip"
"Pttg1ip"," 4.386305"," 3.683735e-02","Pttg1ip"
"Gm11487"," 5.190237","-2.249631e-01","Gm11487"
"Gm11487"," 4.262120","-3.280302e-01","Gm11487"
"NA"," 5.250136","-3.402414e-02","NA"
"NA"," 5.227959","-6.963875e-01","NA"
"NA"," 3.358290"," 9.052487e-02","NA"
"Slc19a1"," 9.021939"," 2.100424e-02","Slc19a1"
"Krr1","11.139762","-7.403216e-02","Krr1"
"Mepce"," 6.480104"," 2.110078e-01","Mepce"
"AA517023"," 3.716405","-2.688908e-01","AA517023"
"Pa2g4","11.304857","-3.663548e-01","Pa2g4"
"Rc3h2"," 6.025609","-2.012874e-03","Rc3h2"
"Rc3h2"," 3.914336","-4.668640e-02","Rc3h2"
"NA"," 3.490920","-9.030621e-02","NA"
"NA"," 5.419179"," 1.771089e-01","NA"
"AA407331"," 3.021768"," 5.187508e-02","AA407331"
"Slc6a6"," 5.594022","-1.208765e-02","Slc6a6"
"NA"," 5.507240","-7.335966e-04","NA"
"Spsb1"," 8.155584","-1.501786e-01","Spsb1"
"NA"," 3.830755","-1.076088e-01","NA"
"NA"," 4.036744","-1.194968e-01","NA"
"NA"," 3.726522","-1.201810e-01","NA"
"NA"," 5.439214"," 1.490661e-01","NA"
"AA408954"," 4.558906","-1.375615e-01","AA408954"
"AA408954"," 3.720579","-2.403112e-01","AA408954"
"Abcf1","11.249267"," 1.693398e-02","Abcf1"
"Abcf1"," 6.011405","-8.087853e-02","Abcf1"
"Myo1e"," 5.691577"," 1.767438e-01","Myo1e"
"Myo1e"," 5.356092"," 9.282379e-02","Myo1e"
"AA409749"," 6.584577","-3.819866e-01","AA409749"
"AA409749"," 3.772810","-2.627192e-01","AA409749"
"AA511261"," 3.620728"," 8.665197e-02","AA511261"
"D7Ertd183e"," 3.783478","-8.555212e-02","D7Ertd183e"
"Dnajc17"," 7.079185"," 1.549137e-01","Dnajc17"
"Dntt"," 3.710440"," 1.915085e-01","Dntt"
"NA"," 4.566930"," 3.236445e-02","NA"
"AA517841"," 4.545067","-1.557199e-01","AA517841"
"AA517841"," 3.558619"," 8.419537e-02","AA517841"
"Myh9"," 9.040895"," 1.334240e-01","Myh9"
"Myh9","11.502771"," 9.909289e-02","Myh9"
