"","X","Y","Symbol"
"Armcx2","11.731793","-1.116219e-01","Armcx2"
"Sumo2","14.144401","-4.901497e-02","Sumo2"
"Sumo2","13.719456","-3.582792e-02","Sumo2"
"Vps35","11.639350"," 1.979724e-02","Vps35"
"Vps35"," 6.869161"," 8.374787e-01","Vps35"
"Cct8","12.962371","-6.738800e-02","Cct8"
"Pgc"," 5.245120","-2.283348e-02","Pgc"
"Ganab"," 9.478782","-3.638319e-01","Ganab"
"NA","10.563437","-5.698280e-02","NA"
"NA"," 9.183289"," 1.200080e-01","NA"
"NA"," 9.216447"," 1.624570e-02","NA"
"Rnf34"," 9.634807"," 6.139623e-02","Rnf34"
"Rbck1"," 8.854585","-1.186537e-01","Rbck1"
"Pnpo"," 8.966883","-2.718344e-02","Pnpo"
"Spin1","12.377900","-1.954923e-01","Spin1"
"Spin1"," 9.006217"," 2.682246e-01","Spin1"
"NA","12.094821"," 4.982002e-03","NA"
"Ddr1"," 8.309658"," 1.667759e-01","Ddr1"
"Ddr1"," 6.679335"," 2.851583e-01","Ddr1"
"Wbp11","11.246223","-5.317613e-02","Wbp11"
"Gja1","13.145101"," 3.233267e-01","Gja1"
"Gja1"," 8.477243"," 1.860429e+00","Gja1"
"Slc16a1","11.750407","-3.854402e-01","Slc16a1"
"Cx3cl1"," 6.040966","-4.580871e-02","Cx3cl1"
"Cx3cl1"," 6.707823"," 1.719937e-01","Cx3cl1"
"Clps"," 5.612645"," 2.517739e-01","Clps"
"Plat"," 8.879125"," 7.152059e-01","Plat"
"Srsf2","11.579771"," 2.599065e-02","Srsf2"
"Tpbpa"," 3.767559"," 3.310177e-01","Tpbpa"
"Tpbpa"," 3.505589","-7.692649e-02","Tpbpa"
"Uhrf1","12.349637","-5.012444e-01","Uhrf1"
"Uhrf1","10.132738","-7.599827e-01","Uhrf1"
"Gsn"," 8.137647"," 4.229087e-01","Gsn"
"Api5","11.278439","-5.156515e-01","Api5"
"Atp6v1b2"," 9.940275","-1.905658e-01","Atp6v1b2"
"Trim27"," 5.089201","-1.049712e-02","Trim27"
"Cct7","13.198100","-9.494313e-03","Cct7"
"Cct7","12.709227","-2.537133e-02","Cct7"
"Anxa6"," 7.435417"," 1.399704e-01","Anxa6"
"Ppp2r1a"," 9.952741"," 1.117991e-01","Ppp2r1a"
"Nono","12.776080"," 2.337697e-02","Nono"
"Nptn","10.687023","-6.060860e-02","Nptn"
"Scd2","13.345709","-8.902159e-02","Scd2"
"Scd2","10.124310"," 2.156700e-01","Scd2"
"Scd2"," 6.367025"," 3.926520e-01","Scd2"
"NA","10.866084","-3.284468e-01","NA"
"Atp6v1h","10.216829"," 5.909758e-02","Atp6v1h"
"Serp1","11.582471","-2.004245e-01","Serp1"
"Serp1","10.650582"," 2.853159e-01","Serp1"
"Lbr","12.113261","-1.557710e-01","Lbr"
"Orc5"," 9.640954"," 7.759127e-02","Orc5"
"Psmd2","12.494410"," 3.901829e-03","Psmd2"
"Agtr2"," 4.204441"," 4.609896e-01","Agtr2"
"Rps29","14.539095","-1.962422e-02","Rps29"
"Dusp6","11.572895","-8.653162e-01","Dusp6"
"Prl3b1"," 5.082231"," 2.841268e-01","Prl3b1"
"Aldh18a1"," 8.282910","-3.601208e-01","Aldh18a1"
"Klk1"," 3.557965"," 5.886516e-01","Klk1"
"Serinc1","11.030837"," 1.415892e-01","Serinc1"
"Npm1","14.109611","-4.768407e-02","Npm1"
"Elovl5","11.608285"," 4.900133e-02","Elovl5"
"Dync1i2","11.630734"," 3.887837e-02","Dync1i2"
"Mlst8"," 8.287008","-2.207515e-01","Mlst8"
"Mlst8"," 6.343123"," 3.018567e-01","Mlst8"
"Syt4"," 3.419318","-2.005208e-01","Syt4"
"Syt4"," 4.773580","-9.614850e-03","Syt4"
"Ldhc"," 3.439348"," 4.813240e-02","Ldhc"
"Ldhc"," 5.742490","-2.171636e-01","Ldhc"
"Prl3d1"," 6.728716"," 1.484530e-02","Prl3d1"
"Stmn1","13.966064"," 5.128764e-02","Stmn1"
"Rasa3"," 8.664876"," 1.510103e-01","Rasa3"
"NA","12.590673","-8.351434e-02","NA"
"NA","13.027681","-5.778398e-02","NA"
"Def8"," 8.865124","-3.082751e-01","Def8"
"Kitl"," 4.986828"," 1.421364e-01","Kitl"
"Kitl"," 8.768921","-2.782108e-01","Kitl"
"Emb"," 9.233635"," 2.675392e-01","Emb"
"Emb"," 9.621802"," 5.708313e-01","Emb"
